Variable,Label,Dataset
STUDYID,Study Identifier,ADPC
USUBJID,Unique Subject Identifier,ADPC
SUBJID,Subject Identifier for the Study,ADPC
SITEID,Study Site Identifier,ADPC
ASEQ,Analysis Sequence Number,ADPC
REGION1,Geographic Region 1,ADPC
COUNTRY,Country,ADPC
ETHNIC,Ethnicity,ADPC
AGE,Age,ADPC
AGEU,Age Units,ADPC
AAGE,Analysis Age,ADPC
AAGEU,Analysis Age Unit,ADPC
AGEGR1,Pooled Age Group 1,ADPC
AGEGR2,Pooled Age Group 2,ADPC
AGEGR3,Pooled Age Group 3,ADPC
STRATwNM,Description of Stratum w,ADPC
STRATw,Randomized Value of Stratum w,ADPC
STRATwV,Verified Value of Stratum w,ADPC
SEX,Sex,ADPC
RACE,Race,ADPC
ITTFL,Intent-To-Treat Population Flag,ADPC
SAFFL,Safety Population Flag,ADPC
PPROTFL,Per-Protocol Population Flag,ADPC
TRT01P,Planned Treatment for Period 01,ADPC
TRT02P,Planned Treatment for Period 02,ADPC
TRT03P,Planned Treatment for Period 03,ADPC
TRT04P,Planned Treatment for Period 04,ADPC
TRT05P,Planned Treatment for Period 05,ADPC
TRT01A,Actual Treatment for Period 01,ADPC
TRT02A,Actual Treatment for Period 02,ADPC
TRT03A,Actual Treatment for Period 03,ADPC
TRT04A,Actual Treatment for Period 04,ADPC
TRT05A,Actual Treatment for Period 05,ADPC
TRTSEQP,Planned Sequence of Treatments,ADPC
TRTSEQA,Actual Sequence of Treatments,ADPC
TRTSDTM,Datetime of First Exposure to Treatment,ADPC
TRTSDT,Date of First Exposure to Treatment,ADPC
TRTEDTM,Datetime of Last Exposure to Treatment,ADPC
TRTEDT,Date of Last Exposure to Treatment,ADPC
DCUTDT,Date of Data Cut,ADPC
PCSEQ,Sequence Number,ADPC
PCGRPID,Group ID,ADPC
PCREFID,Reference ID,ADPC
PCSPID,Sponsor-Defined Identifier,ADPC
PCTESTCD,Pharmacokinetic Test Short Name,ADPC
PCTEST,Pharmacokinetic Test Name,ADPC
PCCAT,Test Category,ADPC
PCSCAT,Test Subcategory,ADPC
PCSTRESC,Character Result/Finding in Std Format,ADPC
PCSTRESN,Numeric Result/Finding in Standard Units,ADPC
PCSTRESU,Standard Units,ADPC
PCSTAT,Completion Status,ADPC
PCREASND,Reason Test Not Done,ADPC
PCSPEC,Specimen Material Type,ADPC
PCSPCCND,Specimen Condition,ADPC
PCMETHOD,Method of Test or Examination,ADPC
PCFAST,Fasting Status,ADPC
PCLLOQ,Lower Limit of Quantitation,ADPC
VISITNUM,Visit Number,ADPC
VISIT,Visit Name,ADPC
VISITDY,Planned Study Day of Visit,ADPC
EPOCH,Epoch,ADPC
