PKNCA,CDISC,unit_type,pretty_name,label,description,FUN,is_cdisc_sure,Dataset
adj.r.squared,R2ADJ,unitless,$r^2_{adj}$,Adjusted r^2,The adjusted r^2 value of the half-life calculation,,T,ADPP
ae,RCAMINT,amount,Amount excreted,Amount excreted,The amount excreted (typically into urine or feces),pk.calc.ae,T,ADPP
aucabove.predose.all,AUCABVPA,auc,"AUC,above","AUC,above","The area under the concentration time the beginning of the interval to the last concentration above the limit of quantification plus the triangle from that last concentration to 0 at the first concentration below the limit of quantification, with a concentration subtracted from all concentrations and values below zero after subtraction set to zero",pk.calc.aucabove,F,ADPP
aucabove.trough.all,AUCABVTA,auc,"AUC,above","AUC,above","The area under the concentration time the beginning of the interval to the last concentration above the limit of quantification plus the triangle from that last concentration to 0 at the first concentration below the limit of quantification, with a concentration subtracted from all concentrations and values below zero after subtraction set to zero",pk.calc.aucabove,F,ADPP
aucall,AUCALL,auc,AUCall,AUCall,The area under the concentration time curve from the beginning of the interval to the last concentration above the limit of quantification plus the triangle from that last concentration to 0 at the first concentration below the limit of quantification,pk.calc.auc.all,T,ADPP
aucall.dn,AUCALLD,auc_dosenorm,AUCall (dose-normalized),AUCall (dose-normalized),Dose normalized aucall,pk.calc.dn,T,ADPP
aucinf.obs,AUCIFO,auc,"AUCinf,obs","AUCinf,obs",The area under the concentration time curve from the beginning of the interval to infinity with extrapolation to infinity from the observed Clast,pk.calc.auc.inf.obs,T,ADPP
aucinf.obs.dn,AUCIFOD,auc_dosenorm,"AUCinf,obs (dose-normalized)","AUCinf,obs (dose-normalized)",Dose normalized aucinf.obs,pk.calc.dn,T,ADPP
aucinf.pred,AUCIFP,auc,"AUCinf,pred","AUCinf,pred",The area under the concentration time curve from the beginning of the interval to infinity with extrapolation to infinity from the predicted Clast,pk.calc.auc.inf.pred,T,ADPP
aucinf.pred.dn,AUCIFPD,auc_dosenorm,"AUCinf,pred (dose-normalized)","AUCinf,pred (dose-normalized)",Dose normalized aucinf.pred,pk.calc.dn,T,ADPP
aucint.all,AUCINTA,auc,AUCint (based on AUCall extrapolation),AUCint (based on AUCall extrapolation),The area under the concentration time curve in the interval extrapolating from Tlast to infinity with the triangle from Tlast to the next point and zero thereafter (matching AUCall),pk.calc.aucint.all,F,ADPP
aucint.all.dose,AUCINTAD,auc,"AUCint (based on AUCall extrapolation, dose-aware)","AUCint (based on AUCall extrapolation, dose-aware)",The area under the concentration time curve in the interval extrapolating from Tlast to infinity with the triangle from Tlast to the next point and zero thereafter (matching AUCall) with dose-aware interpolation/extrapolation of concentrations,pk.calc.aucint.all,F,ADPP
aucint.inf.obs,AUCINTIS,auc,"AUCint (based on AUCinf,obs extrapolation)","AUCint (based on AUCinf,obs extrapolation)",The area under the concentration time curve in the interval extrapolating from Tlast to infinity with zeros (matching AUClast),pk.calc.aucint.inf.obs,F,ADPP
aucint.inf.obs.dose,AUCINTID,auc,"AUCint (based on AUCinf,obs extrapolation, dose-aware)","AUCint (based on AUCinf,obs extrapolation, dose-aware)",The area under the concentration time curve in the interval extrapolating from Tlast to infinity with zeros (matching AUClast) with dose-aware interpolation/extrapolation of concentrations,pk.calc.aucint.inf.obs,F,ADPP
aucint.inf.pred,AUCINTIP,auc,"AUCint (based on AUCinf,pred extrapolation)","AUCint (based on AUCinf,pred extrapolation)",The area under the concentration time curve in the interval extrapolating from Tlast to infinity with the triangle from Tlast to the next point and zero thereafter (matching AUCall),pk.calc.aucint.inf.pred,F,ADPP
